Short ID,Survival,Quantity,Height (cm),Open Closed,Location UML,Water Yes No,Sampling Group
M_C_49_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_50_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_50_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_51_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_51_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_52_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_52_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_52_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_52_4,FALSE,0,0,Closed,Middle,No,M_C
M_O_01_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_02_3,FALSE,0,0,Open,Middle,No,M_O
M_O_03_3,FALSE,0,0,Open,Middle,No,M_O
M_O_04_1,FALSE,0,0,Open,Middle,No,M_O
M_O_04_2,FALSE,0,0,Open,Middle,No,M_O
M_O_04_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_05_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_05_2,FALSE,0,0,Open,Middle,No,M_O
M_O_05_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_06_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_06_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_06_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_07_4,FALSE,0,0,Open,Middle,No,M_O
M_O_11_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_11_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_12_1,FALSE,0,0,Open,Middle,No,M_O
M_O_14_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_14_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_14_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_14_4,FALSE,0,0,Open,Middle,No,M_O
M_O_15_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_15_2,FALSE,0,0,Open,Middle,No,M_O
M_O_15_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_16_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_16_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_17_1,FALSE,0,0,Open,Middle,No,M_O
M_O_17_3,FALSE,0,0,Open,Middle,No,M_O
M_O_19_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_20_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_22_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_22_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_23_3,FALSE,0,0,Open,Middle,No,M_O
M_O_24_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_25_3,FALSE,0,0,Open,Middle,No,M_O
M_O_27_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_27_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_28_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_28_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_29_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_29_4,FALSE,0,0,Open,Middle,Yes,M_O
M_O_30_2,FALSE,0,0,Open,Middle,No,M_O
M_O_33_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_33_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_33_4,FALSE,0,0,Open,Middle,No,M_O
M_O_34_1,FALSE,0,0,Open,Middle,No,M_O
M_O_35_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_35_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_36_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_37_1,FALSE,0,0,Open,Middle,No,M_O
M_O_37_2,FALSE,0,0,Open,Middle,No,M_O
M_O_38_1,FALSE,0,0,Open,Middle,No,M_O
M_O_38_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_39_1,FALSE,0,0,Open,Middle,No,M_O
M_O_40_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_40_2,FALSE,0,0,Open,Middle,No,M_O
M_O_40_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_40_4,FALSE,0,0,Open,Middle,No,M_O
M_O_41_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_41_2,FALSE,0,0,Open,Middle,No,M_O
M_O_41_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_42_4,FALSE,0,0,Open,Middle,No,M_O
M_O_43_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_43_2,FALSE,0,0,Open,Middle,Yes,M_O
M_O_44_4,FALSE,0,0,Open,Middle,No,M_O
M_O_46_2,FALSE,0,0,Open,Middle,No,M_O
M_O_46_3,FALSE,0,0,Open,Middle,Yes,M_O
M_O_46_4,FALSE,0,0,Open,Middle,No,M_O
M_O_47_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_47_2,FALSE,0,0,Open,Middle,No,M_O
M_O_48_1,FALSE,0,0,Open,Middle,Yes,M_O
M_O_48_2,FALSE,0,0,Open,Middle,No,M_O
M_O_49_3,FALSE,0,0,Open,Middle,No,M_O
M_O_50_4,FALSE,0,0,Open,Middle,No,M_O
U_C_02_1,FALSE,0,0,Closed,Upper,No,U_C
U_C_02_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_03_1,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_03_2,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_03_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_03_4,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_04_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_06_3,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_07_3,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_08_1,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_08_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_08_4,FALSE,0,0,Closed,Upper,No,U_C
U_C_09_1,FALSE,0,0,Closed,Upper,No,U_C
U_C_10_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_10_4,FALSE,0,0,Closed,Upper,No,U_C
U_C_11_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_11_4,FALSE,0,0,Closed,Upper,No,U_C
U_C_12_3,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_14_2,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_17_1,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_17_4,FALSE,0,0,Closed,Upper,No,U_C
U_C_18_1,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_18_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_20_1,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_20_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_22_2,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_23_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_24_4,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_26_2,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_29_1,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_29_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_30_2,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_31_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_31_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_31_4,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_32_1,FALSE,0,0,Closed,Upper,No,U_C
U_C_32_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_33_3,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_33_4,FALSE,0,0,Closed,Upper,No,U_C
U_C_34_1,FALSE,0,0,Closed,Upper,No,U_C
U_C_34_2,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_35_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_37_2,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_37_3,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_37_4,FALSE,0,0,Closed,Upper,No,U_C
U_C_38_1,FALSE,0,0,Closed,Upper,No,U_C
U_C_39_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_40_3,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_40_4,FALSE,0,0,Closed,Upper,No,U_C
U_C_41_4,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_42_1,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_42_2,FALSE,0,0,Closed,Upper,No,U_C
U_C_43_1,FALSE,0,0,Closed,Upper,No,U_C
U_C_43_3,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_43_4,FALSE,0,0,Closed,Upper,No,U_C
U_C_44_3,FALSE,0,0,Closed,Upper,Yes,U_C
U_C_45_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_46_3,FALSE,0,0,Closed,Upper,No,U_C
U_C_50_1,FALSE,0,0,Closed,Upper,No,U_C
U_C_50_2,FALSE,0,0,Closed,Upper,No,U_C
U_O_03_3,FALSE,0,0,Open,Upper,Yes,U_O
U_O_04_1,FALSE,0,0,Open,Upper,No,U_O
U_O_04_3,FALSE,0,0,Open,Upper,Yes,U_O
U_O_04_4,FALSE,0,0,Open,Upper,No,U_O
U_O_05_1,FALSE,0,0,Open,Upper,Yes,U_O
U_O_06_4,FALSE,0,0,Open,Upper,No,U_O
U_O_07_1,FALSE,0,0,Open,Upper,Yes,U_O
U_O_07_3,FALSE,0,0,Open,Upper,Yes,U_O
U_O_08_1,FALSE,0,0,Open,Upper,No,U_O
U_O_08_3,FALSE,0,0,Open,Upper,Yes,U_O
U_O_08_4,FALSE,0,0,Open,Upper,Yes,U_O
U_O_09_2,FALSE,0,0,Open,Upper,Yes,U_O
U_O_09_3,FALSE,0,0,Open,Upper,Yes,U_O
